"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 11 18:06:56 CST 2020","Fri Sep 11 18:07:10 CST 2020","13380","TestCase","test_systembase","TestSystemBase","","","test_debugJs[test_input0]","前台调试"
"passed","Fri Sep 11 18:07:10 CST 2020","Fri Sep 11 18:07:22 CST 2020","12269","TestCase","test_systembase","TestSystemBase","","","test_isShowAlert[test_input0]","提示框"
